huccode,name,Federal ownership (%),"Recent fire (% area, 10yr)",Unburned 30yr (%),High severity fire (% area),Moderate-high severity fire (% area),"Recent fire (% area, 3yr)",Reburn area (% area),Climate resiliency index,Lost meadow potential (% area),Fish of concern (# spp),Rare amphibian richness,Native fish richness (# spp),Coho salmon present,Chinook salmon present,Steelhead/rainbow trout present,Coastal cutthroat trout present,Salmonid species (# spp),Climate refugia score,Terrestrial connectivity rank,"Snowpack (peak SWE, mm)",Wildfire hazard potential,"Summer water stress (CWD, mm)",Meadow density (% area)
1801021104,Stuart Fork,78.58762107863438,4.885590113628283,95.1144098863716,1.694333739578724,2.757081761956215,4.334796592593193,0,0.5416315197944641,1.2505132562220074,1,2,5,0,0,1,0,1,0.8203801577664451,2.5038766858592405,282.6730651855469,5288.48486328125,396.1855773925781,0.3379637943937144
1801021105,Swift Creek-Trinity River,67.80496085527135,7.640132289780864,92.23360298093328,2.316531538963318,4.0378231555223465,0,0,0.4260371327400207,1.6949023282178708,0,2,8,1,0,1,0,2,0.8106458913721621,2.215907663159254,171.8748779296875,2779.2373046875,366.0397033691406,0.16943203258853226
1801021106,Browns Creek,30.31415262326416,0,90.2677239324428,0,0,0,0,0.06061479449272156,0.00799462780231227,5,2,9,1,1,1,0,3,0.841985194412097,2.5656093448300763,12.900435447692873,14532.275390625,396.4935607910156,0.10149423813232288
1801021107,Weaver Creek-Trinity River,43.60982753604445,11.552192815287828,84.17749646900563,3.301582485437393,6.312749534845352,0,0,0.03987574577331543,0.1817701504448521,4,2,9,1,1,1,0,3,0.8320370372869644,2.6407466538777946,27.66880226135254,8720.77734375,391.74017333984375,0.287850391037806
1801021108,Canyon Creek,97.15178158689392,34.43127401152287,65.53729983975893,7.421089708805084,11.94821000099182,0,0,0.9863995909690856,0.20439083088730084,5,2,9,1,1,1,0,3,0.7775371101734145,3.0017052801467545,291.83050537109375,3330.32666015625,439.2146606445313,0
1801021109,North Fork Trinity River,99.33066843360582,48.36099663211065,31.445279851933204,0.02536288811825215,0.08021541871130466,0,0,1.120418906211853,0.07734247063659878,5,1,8,1,1,1,0,3,0.7630204325202631,3.437091330653594,198.16717529296875,11187.8583984375,448.3470458984375,0.0063256788395806
1801021110,New River,99.3142770335715,46.441052467919974,1.223731223961766,12.093951553106308,21.08382135629654,0,0.05180156440474093,1.1048310995101929,0.01079470218636794,5,2,10,1,1,1,0,3,0.7827501969449303,3.3430916291033026,61.94170379638672,2609.1201171875,377.1244201660156,0.0704215562159289
1801021111,Big French Creek-Trinity River,84.82479421735019,78.90333336033417,17.25613733017144,1.1860075406730175,2.996755763888359,0,0.01173210112028755,0.5095070600509644,0.17261150135388728,5,3,13,1,1,1,0,4,0.8283771314900096,2.9868318406631595,16.323333740234375,7151.22705078125,372.6326904296875,0.1713623371121206
1801021112,Horse Linto Creek-Trinity River,48.0155567006686,31.374676158879765,58.51269644222177,4.605211317539215,8.857154101133347,0.00658920034766197,2.302958443760872,0.4204249382019043,0.2806429664242823,4,4,15,1,1,1,0,4,0.7374274993604559,2.461867520189077,28.993436813354492,2406.16650390625,348.444091796875,0.25929538089229504
1801021204,Middle South Fork Trinity River,88.56498291928676,36.257275160354816,38.666273524862675,0,0,0,0,0.22925470769405365,0.5490451320291361,5,3,9,1,1,1,0,3,0.8754568209183089,3.04407102812446,16.0073184967041,3450.399658203125,434.4162902832031,0.16832928723466786
1801021201,Upper South Fork Trinity River,96.68790572309707,97.49598442688568,2.3305159186911673,2.763500064611435,5.3335342556238174,0,0,0.5281102657318115,0.03625264046317618,5,2,8,1,1,1,0,3,0.6857493149456692,3.1019194017936167,39.143550872802734,352.6659240722656,403.5818481445313,0.15797264296729233
1801021202,Upper Hayfork Creek,71.63812452977388,38.332146278340616,40.0489479295594,0,0,0,0.00357561293640173,0.1716241091489792,0.3235005484482829,2,2,7,0,1,1,0,2,0.8930788912033553,3.310083136604573,17.36649513244629,9166.67578125,407.6357421875,0.9392559894826856
1801021203,Lower Hayfork Creek,84.94128170032377,35.196896945323445,40.897231578557104,0,0,0,0,0.33858543634414673,0.7976270525393494,5,2,8,1,1,1,0,3,0.8770854139092352,2.7959440484045235,9.192914962768556,5605.8466796875,401.837158203125,1.7939836173589725
1801021205,Lower South Fork Trinity River,71.53754049147528,12.83692172325181,49.159412453338845,1.6503013670444489,3.127295523881912,3.973144292831421,0.1200675149448216,0.6125125885009766,0.2083125569250723,5,4,12,1,1,1,0,4,0.7436366925738245,3.0339624291933056,13.2031831741333,1919.501953125,303.85919189453125,0.5106201310841314
1802000310,Kosk Creek-Pit River,44.37115300927167,0,87.76519104096056,0,0,0,0,0.4743180274963379,0,5,1,13,0,0,1,0,1,0.7795314765365382,2.961426181077597,53.4909782409668,3216.175537109375,550.5753173828125,0
