huccode,axis,value
1802000402,forest,Shasta-Trinity National Forest
1802000403,forest,Shasta-Trinity National Forest
1802000404,forest,Shasta-Trinity National Forest
1802000405,forest,Shasta-Trinity National Forest
1802000501,forest,Shasta-Trinity National Forest
1802000502,forest,Shasta-Trinity National Forest
1802000503,forest,Shasta-Trinity National Forest
1802000504,forest,Shasta-Trinity National Forest
1802015103,forest,Shasta-Trinity National Forest
1802015201,forest,Shasta-Trinity National Forest
1802015202,forest,Shasta-Trinity National Forest
1802015204,forest,Shasta-Trinity National Forest
1802015205,forest,Shasta-Trinity National Forest
1802015206,forest,Shasta-Trinity National Forest
1802015401,forest,Shasta-Trinity National Forest
1802015402,forest,Shasta-Trinity National Forest
1802015403,forest,Shasta-Trinity National Forest
1710031103,forest,Six Rivers National Forest
1710031104,forest,Six Rivers National Forest
1710031202,forest,Six Rivers National Forest
1801010101,forest,Six Rivers National Forest
1801010102,forest,Six Rivers National Forest
1801010103,forest,Six Rivers National Forest
1801010104,forest,Six Rivers National Forest
1801010105,forest,Six Rivers National Forest
1801010201,forest,Six Rivers National Forest
1801010202,forest,Six Rivers National Forest
1801010203,forest,Six Rivers National Forest
1801010204,forest,Six Rivers National Forest
1801010205,forest,Six Rivers National Forest
1801010402,forest,Six Rivers National Forest
1801010501,forest,Six Rivers National Forest
1801010503,forest,Six Rivers National Forest
1801010504,forest,Six Rivers National Forest
1801010506,forest,Six Rivers National Forest
1801010507,forest,Six Rivers National Forest
1801010509,forest,Six Rivers National Forest
1801020903,forest,Six Rivers National Forest
1801020904,forest,Six Rivers National Forest
1801020905,forest,Six Rivers National Forest
1801020906,forest,Six Rivers National Forest
1801020907,forest,Six Rivers National Forest
1801020908,forest,Six Rivers National Forest
1801020909,forest,Six Rivers National Forest
1801020910,forest,Six Rivers National Forest
1801020911,forest,Six Rivers National Forest
1801021003,forest,Six Rivers National Forest
1801021004,forest,Six Rivers National Forest
1801021110,forest,Six Rivers National Forest
1801021111,forest,Six Rivers National Forest
1801021112,forest,Six Rivers National Forest
1801021201,forest,Six Rivers National Forest
1801021204,forest,Six Rivers National Forest
1801021205,forest,Six Rivers National Forest
1801020410,region,Cascades-Modoc
1801020411,region,Cascades-Modoc
1801020413,region,Cascades-Modoc
1801020414,region,Cascades-Modoc
1801020501,region,Cascades-Modoc
1801020502,region,Cascades-Modoc
1801020503,region,Cascades-Modoc
1801020602,region,Cascades-Modoc
1801020603,region,Cascades-Modoc
1801020604,region,Cascades-Modoc
1801020605,region,Cascades-Modoc
1801020607,region,Cascades-Modoc
1801020701,region,Cascades-Modoc
1801020703,region,Cascades-Modoc
1801020704,region,Cascades-Modoc
1801020705,region,Cascades-Modoc
1802000213,region,Cascades-Modoc
1802000219,region,Cascades-Modoc
1802000302,region,Cascades-Modoc
1802000303,region,Cascades-Modoc
1802000304,region,Cascades-Modoc
1802000305,region,Cascades-Modoc
1802000307,region,Cascades-Modoc
1802000308,region,Cascades-Modoc
1802000309,region,Cascades-Modoc
1802000310,region,Cascades-Modoc
1802000311,region,Cascades-Modoc
1802000401,region,Cascades-Modoc
1802000402,region,Cascades-Modoc
1802015101,region,Cascades-Modoc
1802015404,region,Cascades-Modoc
1710031202,region,Coastal/Foothills
1710031203,region,Coastal/Foothills
1710031206,region,Coastal/Foothills
1801010104,region,Coastal/Foothills
1801010105,region,Coastal/Foothills
1801010201,region,Coastal/Foothills
1801010204,region,Coastal/Foothills
1801010205,region,Coastal/Foothills
1801010206,region,Coastal/Foothills
1801010508,region,Coastal/Foothills
1801010510,region,Coastal/Foothills
1801010511,region,Coastal/Foothills
1801010603,region,Coastal/Foothills
1801010604,region,Coastal/Foothills
1801010701,region,Coastal/Foothills
1801010702,region,Coastal/Foothills
1801010703,region,Coastal/Foothills
1801010704,region,Coastal/Foothills
1801010801,region,Coastal/Foothills
1801010802,region,Coastal/Foothills
1801010803,region,Coastal/Foothills
1801010804,region,Coastal/Foothills
1801010805,region,Coastal/Foothills
1801010806,region,Coastal/Foothills
1801010807,region,Coastal/Foothills
1801010808,region,Coastal/Foothills
1801010809,region,Coastal/Foothills
1801010901,region,Coastal/Foothills
1801010902,region,Coastal/Foothills
1801011003,region,Coastal/Foothills
1801011004,region,Coastal/Foothills
1801011005,region,Coastal/Foothills
1801011006,region,Coastal/Foothills
1801011007,region,Coastal/Foothills
1801011008,region,Coastal/Foothills
1801011009,region,Coastal/Foothills
1801020911,region,Coastal/Foothills
1802010401,region,Coastal/Foothills
1802010405,region,Coastal/Foothills
1802010406,region,Coastal/Foothills
1802010407,region,Coastal/Foothills
1802010408,region,Coastal/Foothills
1802011501,region,Coastal/Foothills
1802011503,region,Coastal/Foothills
1802011504,region,Coastal/Foothills
1802011505,region,Coastal/Foothills
1802011506,region,Coastal/Foothills
1802011601,region,Coastal/Foothills
1802011603,region,Coastal/Foothills
1802011604,region,Coastal/Foothills
1802011605,region,Coastal/Foothills
1802011606,region,Coastal/Foothills
1802011607,region,Coastal/Foothills
1802015103,region,Coastal/Foothills
1802015104,region,Coastal/Foothills
1802015202,region,Coastal/Foothills
1802015203,region,Coastal/Foothills
1802015205,region,Coastal/Foothills
1802015206,region,Coastal/Foothills
1802015207,region,Coastal/Foothills
1802015208,region,Coastal/Foothills
1802015402,region,Coastal/Foothills
1802015403,region,Coastal/Foothills
1802015405,region,Coastal/Foothills
1802015502,region,Coastal/Foothills
1802015503,region,Coastal/Foothills
1802015504,region,Coastal/Foothills
1802015602,region,Coastal/Foothills
1802015605,region,Coastal/Foothills
1802016201,region,Coastal/Foothills
1802016202,region,Coastal/Foothills
1802016203,region,Coastal/Foothills
1802016204,region,Coastal/Foothills
1805000101,region,Coastal/Foothills
1805000201,region,Coastal/Foothills
1805000202,region,Coastal/Foothills
1805000203,region,Coastal/Foothills
1805000204,region,Coastal/Foothills
1805000205,region,Coastal/Foothills
1805000206,region,Coastal/Foothills
1805000208,region,Coastal/Foothills
1805000503,region,Coastal/Foothills
1805000504,region,Coastal/Foothills
1710030901,region,Klamath
1710031101,region,Klamath
1710031103,region,Klamath
1710031104,region,Klamath
1801010101,region,Klamath
1801010102,region,Klamath
1801010103,region,Klamath
1801010202,region,Klamath
1801010203,region,Klamath
1801010301,region,Klamath
1801010302,region,Klamath
1801010303,region,Klamath
1801010304,region,Klamath
1801010305,region,Klamath
1801010401,region,Klamath
1801010402,region,Klamath
1801010403,region,Klamath
1801010404,region,Klamath
1801010405,region,Klamath
1801010501,region,Klamath
1801010502,region,Klamath
1801010503,region,Klamath
1801010504,region,Klamath
1801010505,region,Klamath
1801010506,region,Klamath
1801010507,region,Klamath
1801010509,region,Klamath
1801010601,region,Klamath
1801010602,region,Klamath
1801011001,region,Klamath
1801011002,region,Klamath
1801020606,region,Klamath
1801020608,region,Klamath
1801020609,region,Klamath
1801020610,region,Klamath
1801020611,region,Klamath
1801020702,region,Klamath
1801020801,region,Klamath
1801020802,region,Klamath
1801020803,region,Klamath
